book,chapter,verse,text
Testament of Reuben,2,1,"And now hear me, my children, what things I saw concerning the seven spirits of deceit, when"
Testament of Reuben,2,2,"I repented. Seven spirits therefore are appointed against man, and they are the leaders in the works"
Testament of Reuben,2,3,"of youth. [And seven other spirits are given to him at his creation, that through them should be"
Testament of Reuben,2,4,"done every work of man. The first is the spirit of life, with which the constitution (of man) is"
Testament of Reuben,2,5,"created. The second is the sense of sight, with which ariseth desire. The third is the sense of hearing, with which cometh teaching. The fourth is the sense of smell, with which tastes are given 6,"
Testament of Reuben,2,7,"to draw air and breath. The fifth is the power of speech, with which cometh knowledge. The sixth is the sense of taste, with which cometh the eating of meats and drinks; and by it strength is"
Testament of Reuben,2,8,"produced, for in food is the foundation of strength. The seventh is the power of procreation and"
Testament of Reuben,2,9,"sexual intercourse, with which through love of pleasure sins enter in. Wherefore it is the last in order of creation, and the first in that of youth, because it is filled with ignorance, and leadeth the youth as a blind man to a pit, and as a beast to a precipice."
Testament of Reuben,3,1,"Besides all these there is an eighth spirit of sleep, with which is brought about the trance of 2"
Testament of Reuben,3,3,"nature and the image of death. With these spirits are mingled the spirits of error.] First, the spirit of fornication is seated in the nature and in the senses; the second, the spirit of insatiableness,"
Testament of Reuben,3,4,"in the belly; the third, the spirit of fighting, in the liver and gall. The fourth is the spirit of"
Testament of Reuben,3,5,"obsequiousness and chicanery, that through officious attention one may be fair in seeming. The fifth is the spirit of pride, that one may be boastful and arrogant. The sixth is the spirit of lying,"
Testament of Reuben,3,6,"in perdition and jealousy to practise deceits, and concealments from kindred and friends. The seventh is the spirit of injustice, with which are thefts and acts of rapacity, that a man may fulfill the desire of his heart; for injustice worketh together with the other spirits by the taking of gifts. 7,"
Testament of Reuben,3,8,"And with all these the spirit of sleep is joined which is (that) of error and fantasy.] And so perisheth every young man, darkening his mind from the truth, and not understanding the law of"
Testament of Reuben,3,9,"God, nor obeying the admonitions of his fathers as befell me also in my youth. And now, my children, love the truth, and it will preserve you: hear ye the words of Reuben your father."
Testament of Reuben,3,10,"Pay no heed to the face of a woman, Nor associate with another man's wife, Nor meddle with affairs of womankind."
Testament of Reuben,3,11,"For had I not seen Bilhah bathing in a covered place, I had not fallen into this great iniquity."
Testament of Reuben,3,12,"For my mind taking in the thought of the woman's nakedness, suffered me not to sleep until I had"
Testament of Reuben,3,13,"wrought the abominable thing. For while Jacob our father had gone to Isaac his father, when we were in Eder, near to Ephrath in Bethlehem, Bilhah became drunk and was asleep uncovered in her"
Testament of Reuben,3,14,"chamber. Having therefore gone in and beheld nakedness, I wrought the impiety without her"
Testament of Reuben,3,15,"perceiving it, and leaving her sleeping I departed. And forthwith an angel of God revealed to my father concerning my impiety, and he came and mourned over me, and touched her no more."
Testament of Reuben,4,1,"Pay no heed, therefore, my children, to the beauty of women, nor set your mind on their affairs; but walk in singleness of heart in the fear of the Lord, and expend labour on good works, and on study and on your flocks, until the Lord give you a wife, whom He will, that ye suffer not as I did."
Testament of Reuben,4,2,"For until my father's death I had not boldness to look in his face, or to speak to any of my brethren,"
Testament of Reuben,4,3,because of the reproach. Even until now my conscience causeth me anguish on account of my
Testament of Reuben,4,4,"impiety. And yet my father comforted me much and prayed for me unto the Lord, that the anger of the Lord might pass from me, even as the Lord showed. And thenceforth until now I have"
Testament of Reuben,4,5,"been on my guard and sinned not. Therefore, my children, I say unto you, observe all things"
Testament of Reuben,4,6,"whatsoever I command you, and ye shall not sin. For a pit unto the soul is the sin of fornication, separating it from God, and bringing it near to idols, because it deceiveth the mind and understanding,"
Testament of Reuben,4,7,"and leadeth young men into hades before their time. For many hath fornication destroyed; because, though a man be old or noble, or rich or poor, he bringeth reproach upon"
